"","id","used","pack","packid","easting","northing","elevati","distacc","elkwin","moosewin","deerwin","sheepwin","goatwin","wolfwin"
"1",1,1,"Bow valley",1,588900,5670800,1402,295,5,5,5,3,1,5
"2",2,1,"Bow valley",1,567700,5686600,1498,467,5,4,4,3,1,5
"3",3,1,"Bow valley",1,587500,5672700,1402,120,5,3,5,1,1,5
"4",4,1,"Bow valley",1,588100,5671500,1402,499,5,5,5,3,1,5
"5",5,1,"Bow valley",1,558477,5697212,1587,0,4,5,4,3,1,4
"6",6,1,"Bow valley",1,586000,5674300,1402,268,5,5,5,3,1,5
"7",7,1,"Bow valley",1,578950,5679200,1433,210,4,4,4,1,3,4
"8",8,1,"Bow valley",1,588150,5671250,1402,618,5,5,5,3,1,5
"9",9,1,"Bow valley",1,588155,5672074,1405,0,5,3,5,1,1,5
"10",10,1,"Bow valley",1,584800,5675700,1404,30,4,3,6,1,1,5
"11",11,1,"Bow valley",1,584800,5674850,1402,467,5,5,5,3,1,5
"12",12,1,"Bow valley",1,584600,5674800,1402,319,5,5,5,3,1,5
"13",13,1,"Bow valley",1,582400,5675950,1428,417,5,5,5,3,1,5
"14",14,1,"Bow valley",1,568250,5685100,1476,85,4,4,4,1,3,4
"15",15,1,"Bow valley",1,590500,5669600,1406,150,5,5,5,3,1,5
"16",16,1,"Bow valley",1,585190,5674900,1402,228,5,5,5,3,1,5
"17",17,1,"Bow valley",1,585750,5676250,1536,630,5,4,5,4,3,5
"18",18,1,"Bow valley",1,585150,5676250,1435,30,6,1,6,5,1,6
"19",19,1,"Bow valley",1,587350,5671500,1403,150,4,4,4,1,1,5
"20",20,1,"Bow valley",1,569250,5684250,1485,85,4,5,4,3,1,4
"21",21,1,"Bow valley",1,577000,5679350,1433,120,4,5,3,1,3,4
"22",22,1,"Bow valley",1,587580,5673950,1503,531,6,3,6,1,3,6
"23",23,1,"Bow valley",1,577500,5679200,1433,212,4,4,4,1,1,4
"24",24,1,"Bow valley",1,588050,5673130,1494,510,6,3,6,1,3,6
"25",25,1,"Bow valley",1,586500,5673200,1402,661,5,5,5,3,1,5
"26",26,1,"Bow valley",1,582700,5676600,1458,190,4,3,6,1,1,5
"27",27,1,"Bow valley",1,585440,5674890,1402,85,6,4,6,1,3,6
"28",28,1,"Bow valley",1,586100,5677050,1949,1064,4,3,4,5,5,4
"29",29,1,"Bow valley",1,585150,5676700,1499,42,4,4,4,4,3,4
"30",30,1,"Bow valley",1,587700,5671860,1402,391,5,5,5,3,1,5
"31",31,1,"Bow valley",1,584100,5675400,1402,285,5,5,5,3,1,5
"32",32,1,"Bow valley",1,575500,5680500,1459,150,4,4,4,1,3,4
"33",33,1,"Bow valley",1,582200,5676400,1432,124,5,5,5,3,1,5
"34",34,1,"Bow valley",1,582900,5676100,1437,0,4,3,6,1,1,5
"35",35,1,"Bow valley",1,588200,5673100,1543,636,6,3,6,1,3,6
"36",36,1,"Bow valley",1,582200,5675850,1420,268,5,5,5,3,1,5
"37",37,1,"Bow valley",1,584900,5675850,1410,0,6,1,6,5,1,6
"38",38,1,"Bow valley",1,584800,5676200,1422,201,4,3,6,1,1,5
"39",39,1,"Bow valley",1,586800,5672050,1402,85,4,4,4,1,1,5
"40",40,1,"Bow valley",1,584800,5676050,1415,150,4,3,6,1,1,5
"41",41,1,"Bow valley",1,589400,5669300,1402,277,4,5,5,4,3,5
"42",42,1,"Bow valley",1,578850,5679350,1446,351,4,5,4,3,1,4
"43",43,1,"Bow valley",1,577200,5678950,1433,175,4,5,3,1,3,4
"44",44,1,"Bow valley",1,573450,5681500,1440,277,4,4,4,1,1,4
"45",47,1,"Bow valley",1,582400,5675900,1426,362,5,5,5,3,1,5
"46",48,1,"Bow valley",1,582150,5676100,1430,366,5,5,5,3,1,5
"47",49,1,"Bow valley",1,583600,5676400,1434,339,4,3,6,1,1,5
"48",50,1,"Bow valley",1,585600,5675800,1447,589,5,4,5,4,3,5
"49",51,1,"Bow valley",1,584800,5676370,1465,297,4,3,6,1,1,5
"50",52,1,"Bow valley",1,580000,5677300,1420,216,5,5,5,3,1,5
"51",53,1,"Bow valley",1,585200,5676000,1420,182,6,1,6,5,1,6
"52",54,1,"Bow valley",1,574300,5681150,1443,30,4,5,3,1,3,4
"53",55,1,"Bow valley",1,579600,5678400,1432,443,5,5,5,3,1,5
"54",56,1,"Bow valley",1,585400,5676300,1472,270,5,4,5,4,3,5
"55",57,1,"Bow valley",1,582450,5675700,1419,212,5,5,5,3,1,5
"56",58,1,"Bow valley",1,583900,5675600,1419,234,4,3,6,1,1,5
"57",59,1,"Bow valley",1,585400,5674600,1402,361,5,5,5,3,1,5
"58",60,1,"Bow valley",1,579051,5678956,1433,30,5,5,4,3,3,5
"59",61,1,"Bow valley",1,573600,5681700,1441,30,4,4,4,1,1,4
"60",62,1,"Bow valley",1,582950,5676250,1443,30,4,3,6,1,1,5
"61",63,1,"Bow valley",1,584300,5675500,1402,150,6,1,6,5,1,6
"62",64,1,"Bow valley",1,582300,5676700,1450,127,4,3,6,1,1,5
"63",65,1,"Bow valley",1,584800,5676500,1505,330,4,3,6,1,1,5
"64",66,1,"Bow valley",1,584800,5676850,1537,127,4,4,4,4,3,4
"65",67,1,"Bow valley",1,585560,5675200,1417,212,5,5,5,3,1,5
"66",68,1,"Bow valley",1,584100,5677000,1563,424,4,3,6,1,1,5
"67",69,1,"Bow valley",1,584890,5675900,1411,30,4,3,6,1,1,5
"68",70,1,"Bow valley",1,589658,5670521,1417,0,5,3,5,1,1,5
"69",71,1,"Bow valley",1,584800,5676300,1433,258,4,3,6,1,1,5
"70",72,1,"Bow valley",1,585000,5676600,1502,108,4,3,6,1,1,5
"71",73,1,"Bow valley",1,585922,5674697,1402,0,6,4,6,1,3,6
"72",74,1,"Bow valley",1,578750,5679500,1471,457,4,5,4,3,1,4
"73",75,1,"Bow valley",1,578700,5679600,1473,551,4,5,4,3,1,4
"74",76,1,"Bow valley",1,584158,5675434,1402,242,5,5,5,3,1,5
"75",77,1,"Bow valley",1,585700,5674700,1402,108,6,4,6,1,3,6
"76",78,1,"Bow valley",1,588500,5673500,1772,1073,4,3,4,5,5,4
"77",79,1,"Bow valley",1,584850,5675250,1402,150,6,1,6,5,1,6
"78",80,1,"Bow valley",1,578850,5679200,1436,210,4,5,4,3,1,4
"79",81,1,"Bow valley",1,578800,5679170,1438,162,4,4,4,3,1,4
"80",82,1,"Bow valley",1,573611,5681700,1441,30,4,4,4,1,1,4
"81",83,1,"Bow valley",1,573870,5681130,1437,350,4,4,4,1,1,4
"82",84,1,"Bow valley",1,585000,5675600,1403,170,6,1,6,5,1,6
"83",85,1,"Bow valley",1,578500,5679250,1463,134,4,4,4,3,1,4
"84",86,1,"Bow valley",1,585470,5674750,1402,190,6,4,6,1,3,6
"85",87,1,"Bow valley",1,585600,5675300,1425,300,5,3,5,1,1,5
"86",88,1,"Bow valley",1,573400,5681500,1440,319,4,4,4,1,1,4
"87",89,1,"Bow valley",1,585300,5674100,1402,361,5,5,5,3,1,5
"88",90,1,"Bow valley",1,582800,5676400,1452,67,4,3,6,1,1,5
"89",91,1,"Bow valley",1,588900,5671350,1402,150,5,6,4,1,1,5
"90",92,1,"Bow valley",1,578500,5679800,1481,591,4,5,4,3,1,4
"91",93,1,"Bow valley",1,567900,5685700,1492,30,4,4,4,1,1,4
"92",94,1,"Bow valley",1,585400,5674700,1402,283,6,4,6,1,3,6
"93",95,1,"Bow valley",1,585100,5674200,1402,297,5,5,5,3,1,5
"94",96,1,"Bow valley",1,558900,5696500,1585,108,4,5,4,3,1,4
"95",97,1,"Bow valley",1,556600,5696600,1584,0,4,5,4,3,1,4
"96",98,1,"Bow valley",1,577950,5679100,1433,228,4,4,4,1,1,4
"97",99,1,"Bow valley",1,577700,5678400,1433,85,5,5,4,4,1,5
"98",100,1,"Bow valley",1,583500,5677050,1488,201,4,3,6,1,1,5
"99",101,1,"Bow valley",1,583900,5677500,1730,591,4,1,5,6,5,5
"100",102,1,"Bow valley",1,584900,5676000,1412,60,4,3,6,1,1,5
"101",103,1,"Bow valley",1,583170,5677480,1547,360,4,3,6,1,1,5
"102",104,1,"Bow valley",1,584600,5675600,1402,60,6,1,6,5,1,6
"103",105,1,"Bow valley",1,584600,5675600,1402,60,6,1,6,5,1,6
"104",106,1,"Bow valley",1,584600,5675600,1402,60,6,1,6,5,1,6
"105",107,1,"Bow valley",1,585477,5674985,1407,0,6,4,6,1,3,6
"106",108,1,"Bow valley",1,584900,5675800,1409,30,6,1,6,5,1,6
"107",109,1,"Bow valley",1,584650,5675650,1403,0,6,1,6,5,1,6
"108",110,1,"Bow valley",1,582150,5677300,1533,277,4,3,6,1,1,5
"109",111,1,"Bow valley",1,586800,5673150,1402,503,5,5,5,3,1,5
"110",112,1,"Bow valley",1,576700,5679200,1433,192,4,5,3,1,3,4
"111",113,1,"Bow valley",1,585150,5674880,1402,268,5,5,5,3,1,5
"112",114,1,"Bow valley",1,580500,5677500,1431,402,5,5,5,3,1,5
"113",115,1,"Bow valley",1,588800,5670500,1402,499,5,5,5,3,1,5
"114",116,1,"Bow valley",1,584750,5675790,1410,85,4,3,6,1,1,5
"115",117,1,"Bow valley",1,586500,5674950,1469,513,5,3,5,1,1,5
"116",118,1,"Bow valley",1,585300,5675550,1414,361,5,3,5,1,1,5
"117",119,1,"Bow valley",1,587200,5674100,1438,391,5,5,5,3,1,5
"118",120,1,"Bow valley",1,584820,5675950,1414,90,4,3,6,1,1,5
"119",121,1,"Bow valley",1,583700,5676950,1479,134,4,3,6,1,1,5
"120",122,1,"Bow valley",1,578690,5678810,1433,182,5,5,5,3,1,5
"121",123,1,"Bow valley",1,584800,5675800,1411,67,4,3,6,1,1,5
"122",124,1,"Bow valley",1,584800,5675950,1415,120,4,3,6,1,1,5
"123",125,1,"Bow valley",1,584800,5676250,1428,228,4,3,6,1,1,5
"124",126,1,"Bow valley",1,584750,5675900,1416,124,4,3,6,1,1,5
"125",127,1,"Bow valley",1,584800,5675900,1414,108,4,3,6,1,1,5
"126",128,1,"Bow valley",1,578730,5678800,1433,180,5,5,5,3,1,5
"127",129,1,"Bow valley",1,584600,5676600,1524,390,4,3,6,1,1,5
"128",130,1,"Bow valley",1,578900,5679350,1442,360,4,5,4,3,1,4
"129",131,1,"Bow valley",1,584150,5675300,1402,379,5,5,5,3,1,5
"130",132,1,"Bow valley",1,585000,5675950,1412,0,6,1,6,5,1,6
"131",133,1,"Bow valley",1,588700,5672095,1434,283,5,5,5,3,1,5
"132",134,1,"Bow valley",1,586770,5673750,1402,108,5,5,5,3,1,5
"133",135,1,"Bow valley",1,588200,5672500,1448,376,5,5,5,3,1,5
"134",136,1,"Bow valley",1,587100,5673800,1403,108,5,5,5,3,1,5
"135",137,1,"Bow valley",1,588025,5672480,1437,258,5,5,5,3,1,5
"136",138,1,"Bow valley",1,588700,5671750,1406,0,5,5,5,3,1,5
"137",139,1,"Bow valley",1,586300,5673900,1402,443,5,5,5,3,1,5
"138",140,1,"Bow valley",1,586500,5674000,1402,216,5,5,5,3,1,5
"139",141,1,"Bow valley",1,581900,5677000,1433,42,4,3,6,1,1,5
"140",142,1,"Bow valley",1,588137,5670704,1402,242,5,5,5,3,1,5
"141",143,1,"Bow valley",1,588200,5672200,1417,124,5,3,5,1,1,5
"142",144,1,"Bow valley",1,575368,5680385,1451,0,4,4,4,1,3,4
"143",145,1,"Bow valley",1,576487,5679665,1437,0,4,4,4,1,3,4
"144",146,1,"Bow valley",1,563750,5691050,1496,582,5,5,4,4,1,5
"145",147,1,"Bow valley",1,568850,5684950,1495,30,4,5,4,3,1,4
"146",148,1,"Bow valley",1,578800,5679520,1462,497,4,5,4,3,1,4
"147",149,1,"Bow valley",1,567000,5687000,1513,234,4,5,4,3,1,4
"148",150,1,"Bow valley",1,587700,5673400,1446,361,5,5,5,3,1,5
"149",151,1,"Bow valley",1,587350,5674250,1489,600,6,4,6,6,1,6
"150",152,1,"Bow valley",1,585200,5676500,1468,90,4,3,6,1,1,5
"151",153,1,"Bow valley",1,587700,5675550,1869,1634,4,4,3,3,4,4
"152",154,1,"Bow valley",1,585650,5675250,1423,309,5,5,5,3,1,5
"153",155,1,"Bow valley",1,586550,5673930,1402,190,5,5,5,3,1,5
"154",156,1,"Bow valley",1,579300,5679400,1433,420,4,4,4,1,3,4
"155",157,1,"Bow valley",1,590880,5668450,1402,180,5,5,5,3,1,5
"156",158,1,"Bow valley",1,590075,5670600,1565,182,6,3,6,1,3,6
"157",159,1,"Bow valley",1,581900,5677200,1438,242,4,3,6,1,1,5
"158",160,1,"Bow valley",1,581430,5676400,1420,335,5,5,5,3,1,5
"159",161,1,"Bow valley",1,592500,5665500,1666,390,4,4,4,4,3,4
"160",162,1,"Bow valley",1,581900,5678000,1614,800,4,4,4,1,1,5
"161",163,1,"Bow valley",1,588850,5670300,1402,531,5,5,5,3,1,5
"162",164,1,"Bow valley",1,586500,5673700,1402,361,5,5,5,3,1,5
"163",165,1,"Bow valley",1,568600,5678700,1808,524,3,4,4,1,1,4
"164",166,1,"Bow valley",1,574700,5680700,1442,85,4,4,4,1,1,4
"165",167,1,"Bow valley",1,580100,5678500,1433,108,5,5,4,3,3,5
"166",168,1,"Bow valley",1,574700,5680600,1438,162,4,4,4,1,1,4
"167",169,1,"Bow valley",1,565100,5688300,1494,192,1,1,1,1,1,1
"168",170,1,"Bow valley",1,574450,5680600,1433,309,4,4,4,1,1,4
"169",171,1,"Bow valley",1,593470,5669550,1402,180,6,6,5,1,1,6
"170",172,1,"Bow valley",1,584300,5675400,1402,240,5,5,5,3,1,5
"171",173,1,"Bow valley",1,589100,5671100,1404,90,5,6,4,1,1,5
"172",174,1,"Bow valley",1,583900,5676600,1436,0,4,3,6,1,1,5
"173",175,1,"Bow valley",1,583900,5676600,1436,0,4,3,6,1,1,5
"174",176,1,"Bow valley",1,585000,5676200,1426,67,6,1,6,5,1,6
"175",177,1,"Bow valley",1,584850,5675800,1409,30,4,3,6,1,1,5
"176",178,1,"Bow valley",1,588600,5671600,1402,175,5,6,4,1,1,5
"177",179,1,"Bow valley",1,568950,5685650,1528,297,4,5,4,3,1,4
"178",180,1,"Bow valley",1,584650,5675700,1406,30,4,3,6,1,1,5
